word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group
r1 o1 n o,rono,uni2-bi4,-15.68840908,-12.15179607,1
f1 u1 ɾ a,fura,uni2-bi4,-16.02955593,-12.176094579999999,2
p1 o1 r e,porre,uni2-bi4,-15.99512295,-12.37445773,3
u1 a1 n u,guanu,uni3-bi1,-14.9691365,-22.53622931,4
u1 o1 ɾ i,huori,uni3-bi1,-14.92593513,-21.20552809,5
u1 o1 u o,huohuo,uni3-bi1,-15.32662118,-26.37811141,1
n1 e1 d u,nedu,uni3-bi1,-14.85885298,-22.43503752,2
u o i1 u1,huoyú,uni3-bi1,-14.65456971,-25.565343,3
g e u1 i1,guehuí,uni3-bi1,-15.13797688,-22.4989717,4
f o u1 a1,fohuá,uni3-bi1,-15.33590778,-21.2139043,5
n1 o1 i u,noyu,uni3-bi1,-15.01905881,-24.57239831,1
s1 u1 k i,suqui,uni3-bi1,-14.98548639,-19.90488418,2
n1 o1 l u,nolu,uni3-bi1,-15.55241026,-22.52380612,3
n1 o1 s u,nosu,uni3-bi1,-14.51793712,-21.30120896,4
p1 i1 u e,pihue,uni3-bi1,-14.81577631,-19.81614044,5
i1 a1 r u,llarru,uni3-bi1,-15.28731931,-22.57866112,1
f a u1 a1,fahuá,uni3-bi1,-15.14223432,-19.87988246,2
d1 e1 u o,dehuo,uni3-bi1,-14.67261643,-21.23271366,3
n1 o1 u i,nohui,uni3-bi1,-15.01905881,-25.4921331,4
t1 u1 s u,tusu,uni3-bi1,-15.38564613,-19.83274622,5
u1 i1 u o,huihuo,uni3-bi1,-14.65456971,-23.6109885,1
u1 o1 u e,huohue,uni3-bi1,-15.13787932,-26.04655928,2
n i u1 o1,nihuó,uni3-bi1,-14.80397429,-23.82696145,3
u1 a1 u i,guahui,uni3-bi1,-14.92325585,-24.49514478,4
u1 o1 p i,huopi,uni3-bi1,-15.55046586,-23.8195994,5
u1 e1 u i,huehui,uni3-bi1,-15.35290708,-23.89314144,1
m1 a1 u o,mahuo,uni3-bi1,-14.6058707,-19.81548886,2
u1 a1 i u,guayu,uni3-bi1,-14.92325585,-24.12972072,3
d u i1 u1,duyú,uni3-bi1,-15.51960816,-21.16388768,4
u1 a1 ɾ u,guaru,uni3-bi1,-15.09109734,-21.21754879,5
n1 e1 u i,nehui,uni3-bi1,-14.51957962,-25.18046453,1
ɲ1 i1 s e,ñise,uni3-bi1,-15.48697857,-19.81648291,2
u1 i1 u i,huihui,uni3-bi1,-15.1803348,-25.58653183,3
u o u1 o1,huohuó,uni3-bi1,-15.32662118,-27.44042866,4
u e u1 o1,huehuó,uni3-bi1,-15.13787932,-25.19604828,5
u i u1 i1,huihuí,uni3-bi1,-15.1803348,-24.02046546,1
n1 e1 n u,nenu,uni3-bi1,-14.56546026,-22.5340357,2
i1 u1 i u,yuyu,uni3-bi1,-15.1803348,-24.65333284,3
u o u1 i1,huohuí,uni3-bi1,-14.65456971,-26.72908832,4
u1 o1 l e,huole,uni3-bi2,-14.57693815,-18.72954056,5
n a f1 o1,nafó,uni3-bi2,-15.34212223,-17.10928001,1
d1 i1 p i,dipi,uni3-bi2,-14.72388882,-18.74757961,2
b a n1 u1,vanú,uni3-bi2,-14.57774268,-17.88890012,3
n u m1 a1,numá,uni3-bi2,-15.17751643,-17.90535497,4
u a g1 e1,guagué,uni3-bi2,-15.3731774,-18.70619913,5
n u ɾ1 o1,nuró,uni3-bi2,-14.60292871,-17.51668747,1
n u s1 o1,nusó,uni3-bi2,-15.12669352,-17.06338919,2
u e d1 o1,huedó,uni3-bi2,-14.98335376,-17.50102406,3
l o f1 i1,lofí,uni3-bi2,-15.35121502,-16.66796275,4
l a l1 u1,lalú,uni3-bi2,-15.13660492,-17.48601512,5
g1 a1 n i,gani,uni3-bi2,-14.61455273,-17.08230473,1
b1 i1 p i,bipi,uni3-bi2,-14.93649958,-17.94991203,2
s1 u1 n i,suni,uni3-bi2,-14.59787376,-18.31321021,3
r1 i1 s i,risi,uni3-bi2,-14.99512037,-16.71015477,4
p o n1 u1,ponú,uni3-bi2,-14.75684618,-17.09632594,5
b1 a1 m u,vamu,uni3-bi2,-15.54758325,-18.31431544,1
b1 a1 ɾ u,varu,uni3-bi2,-15.14918254,-18.38322908,2
g e i1 o1,guelló,uni3-bi2,-14.57250401,-16.66603568,3
n a p1 u1,napú,uni3-bi2,-14.99995708,-18.72347911,4
b o n1 u1,bonú,uni3-bi2,-14.77141613,-17.50727776,5
t a g1 u1,tagú,uni3-bi2,-15.53451824,-16.68004563,1
n i x1 a1,nijá,uni3-bi2,-14.95783084,-17.09802677,2
n1 o1 g o,nogo,uni3-bi2,-15.16544275,-16.69100605,3
l1 i1 r a,lirra,uni3-bi2,-14.96731692,-18.34264218,4
n1 u1 r o,nuro,uni3-bi2,-15.56606176,-17.51433348,5
t1 i1 g i,tigui,uni3-bi2,-15.32139251,-17.90549138,1
u e p1 o1,huepó,uni3-bi2,-15.48782778,-18.7269367,2
m1 o1 d i,modi,uni3-bi2,-15.30574693,-17.50239939,3
t i s1 u1,tisú,uni3-bi2,-14.74267452,-16.67680993,4
s1 u1 p i,supi,uni3-bi2,-15.34436533,-18.32128403,5
b1 a1 t u,vatu,uni3-bi2,-15.17202246,-18.74220495,1
s u k1 i1,suquí,uni3-bi2,-14.75601669,-17.90423804,2
b1 i1 s u,bisu,uni3-bi2,-14.73729831,-18.33968516,3
t͡ʃ a n1 a1,chaná,uni3-bi2,-15.51570852,-17.07943122,4
i e t͡ʃ1 i1,llechí,uni3-bi2,-15.46773939,-17.92431307,5
i a r1 i1,yarrí,uni3-bi3,-14.77680351,-15.91948073,1
d1 o1 ɾ i,dori,uni3-bi3,-14.77140956,-15.65428799,2
d e d1 u1,dedú,uni3-bi3,-14.79380735,-16.23978329,3
t u ɾ1 o1,turó,uni3-bi3,-14.74772947,-15.34358865,4
g1 a1 m i,gami,uni3-bi3,-15.13491428,-15.96259727,5
r a p1 i1,rapí,uni3-bi3,-15.31813989,-15.66719521,1
d o t1 u1,dotú,uni3-bi3,-14.60598346,-15.91966596,2
t1 e1 g e,tegue,uni3-bi3,-14.77945784,-14.76388734,3
d e m1 u1,demú,uni3-bi3,-15.15671285,-16.26704308,4
b a s1 u1,vasú,uni3-bi3,-14.63949674,-15.65165893,5
b1 o1 ɾ i,bori,uni3-bi3,-14.98402032,-15.91082478,1
n1 o1 g a,noga,uni3-bi3,-14.9717693,-16.1928051,2
i1 o1 g e,yogue,uni3-bi3,-14.57250401,-16.25274147,3
x e ɾ1 o1,geró,uni3-bi3,-14.93256966,-14.74200675,4
f1 i1 t i,fiti,uni3-bi3,-15.53431006,-15.66433219,5
f o m1 a1,fomá,uni3-bi3,-15.54428770847592,-15.309265036706895,1
f a l1 a1,fala,uni3-bi3,-15.14135982,-15.04454766,2
t i f1 i1,tifí,uni3-bi3,-15.53431006,-16.24520803,3
t u l1 e1,tulé,uni3-bi3,-15.54271398,-15.03585922,4
p1 a1 f e,pafe,uni3-bi3,-15.49711438,-14.76538792,5
t e r1 i1,terrí,uni3-bi3,-14.97241651,-15.05894991,1
s1 i1 x i,sigi,uni3-bi3,-15.49878994,-15.94733003,2
l u ɾ1 e1,luré,uni3-bi3,-14.59092033,-15.32179101,3
f1 o1 i e,foye,uni3-bi3,-15.30117317,-16.24499833,4
l1 e1 g e,legue,uni3-bi3,-15.30967465,-15.33716845,5
g o t1 e1,goté,uni3-bi3,-14.9681997,-15.63476416,1
s u p1 a1,supá,uni3-bi3,-14.77208263,-15.05256922,2
i u t1 o1,yutó,uni3-bi3,-15.32129495,-15.92642931,3
s e t͡ʃ1 e1,seché,uni3-bi3,-15.13918999,-15.36442809,4
b a x1 i1,bagí,uni3-bi3,-15.25653277,-14.81568902,5
u1 a1 x e,guage,uni3-bi3,-15.29877745,-15.02205558,1
b1 e1 p o,bepo,uni3-bi3,-14.58330678,-15.02511923,2
k i b1 i1,quibí,uni3-bi3,-14.57762065,-14.73405812,3
d1 e1 g e,degue,uni3-bi3,-15.1560236,-14.74883208,4
f1 e1 i o,feyo,uni3-bi3,-14.99043584,-15.35408923,5
d o l1 u1,dolú,uni3-bi3,-15.13620027,-15.66072526,1
r1 a1 b a,raba,uni3-bi4,-15.32666674,-11.8028015,2
t1 e1 r e,terre,uni3-bi4,-14.61460398,-13.33568031,3
l1 o1 l e,lole,uni3-bi4,-14.57606364,-14.10324983,4
b i k1 e1,biqué,uni3-bi4,-15.1423602,-14.0607263,5
k1 u1 d o,cudo,uni3-bi4,-15.21387835,-10.48214445,1
r1 e1 ɾ a,rera,uni3-bi4,-15.11721728,-11.37328841,2
u1 e1 g a,huega,uni3-bi4,-15.30561757,-13.37182212,3
f1 e1 ɾ a,fera,uni3-bi4,-14.96460388,-11.82957037,4
g1 o1 ɾ e,fore,uni3-bi4,-14.95113704,-13.35966098,5
m1 e1 r e,merre,uni3-bi4,-15.35407523,-12.65352258,1
p1 o1 ɾ a,pora,uni3-bi4,-14.55644505,-11.07054675,2
r1 i1 d o,rido,uni3-bi4,-15.30975032,-10.94281358,3
r1 i1 d e,ride,uni3-bi4,-15.12100846,-11.83639537,4
f1 a1 m o,famo,uni3-bi4,-15.12702682,-12.57931907,5
b1 u1 ɾ a,bura,uni3-bi4,-14.83005465,-11.85059598,1
m1 o1 m a,moma,uni3-bi4,-14.81327723,-13.38250053,2
p1 e1 m o,pemo,uni3-bi4,-14.64904003,-11.17784256,3
r1 i1 ɾ o,riro,uni3-bi4,-15.13831845,-13.37323041,4
k1 u1 b e,cube,uni3-bi4,-15.49280531,-11.86595682,5
d o b1 o1,dobó,uni3-bi4,-14.62968711,-12.64423394,1
s1 e1 x e,sege,uni3-bi4,-14.95685527,-12.59990949,2
k u s1 o1,cusó,uni3-bi4,-15.51430615,-12.60622277,3
g1 a1 b e,gabe,uni3-bi4,-14.66110731,-11.87754536,4
x1 o1 t e,jote,uni3-bi4,-15.31725507,-14.11195961,5
r1 a1 d e,rade,uni3-bi4,-14.86392952,-10.78207572,1
f1 i1 d o,fido,uni3-bi4,-15.15713692,-10.48034515,2
f1 a1 d o,fado,uni3-bi4,-14.90005798,-10.71506888,3
t1 i1 g o,tigo,uni3-bi4,-14.79562742,-12.63881165,4
x1 e1 d a,geda,uni3-bi4,-14.96143624,-14.104443,5
k1 u1 d e,cude,uni3-bi4,-15.02513649,-11.37572625,1
l1 u1 t a,luta,uni3-bi4,-14.79393487,-14.1188669,2
r1 a1 d a,rada,uni3-bi4,-14.85899793,-10.97533356,3
m1 e1 g e,megue,uni3-bi4,-15.51892909,-14.08172961,4
x1 a1 d o,jado,uni3-bi4,-14.72545847,-10.59087241,5
g a m1 e1,gamé,uni3-bi4,-15.5139975,-13.33825237,1
r1 a1 d o,rado,uni3-bi4,-15.05267138,-9.888493929,2
u e u1 i1,huehuí,uni4-bi1,-14.46582785,-24.48470794,3
i e u1 i1,llehuí,uni4-bi1,-13.37153522,-21.59267534,4
u o i1 a1,huoyá,uni4-bi1,-13.15996643,-21.7334372,5
i a u1 i1,yahuí,uni4-bi1,-13.36660363,-20.62756198,1
u o u1 a1,huohuá,uni4-bi1,-14.39749077,-25.32164849,2
m e u1 i1,mehuí,uni4-bi1,-13.93777742,-19.63799963,3
n o u1 i1,nohuí,uni4-bi1,-13.60615773,-23.50675547,4
n o u1 o1,nohuó,uni4-bi1,-14.2782092,-24.21809581,5
n1 o1 u a,nohua,uni4-bi1,-14.29962027,-21.70503557,1
u a n1 i1,guaní,uni4-bi1,-13.62756879,-19.58192935,2
s i u1 i1,sihuí,uni4-bi1,-13.58492049,-20.67714082,3
s o u1 i1,sohuí,uni4-bi1,-13.0591554,-22.47825778,4
i1 e1 t u,yetu,uni4-bi1,-14.30606415,-19.60989387,5
n1 a1 u i,nahui,uni4-bi1,-14.08992839,-23.85481799,1
l e u1 i1,lehuí,uni4-bi1,-13.90488668,-20.67066929,2
u o ɾ1 a1,huorá,uni4-bi1,-13.10215256,-19.53069846,3
n1 e1 u e,nehue,uni4-bi1,-13.80507267,-22.87336907,4
i1 a1 m u,llamu,uni4-bi1,-14.25197372,-20.65248154,5
n e i1 u1,neyú,uni4-bi1,-13.41741587,-22.44570994,1
s1 a1 u e,sahue,uni4-bi1,-13.4371755,-19.74230329,2
n1 i1 u o,nihuo,uni4-bi1,-13.82124225,-22.70896699,3
s a u1 a1,sahuá,uni4-bi1,-12.608403,-19.40128472,4
n i u1 a1,nihuá,uni4-bi1,-13.87484387,-21.70818128,5
i o u1 o1,yohuó,uni4-bi1,-14.23232855,-22.74723947,1
i1 a1 u i,yahui,uni4-bi1,-13.68573151,-23.99899117,2
n e u1 a1,nehuá,uni4-bi1,-13.16033692,-20.79075445,3
i1 a1 u e,yahue,uni4-bi1,-12.97122457,-21.69189571,4
n1 e1 u o,nehuo,uni4-bi1,-13.99381453,-23.2049212,5
u e i1 u1,hueyó,uni4-bi1,-14.46582785,-24.7322236,1
s o u1 o1,sohuó,uni4-bi1,-13.73120687,-23.18959812,2
n a u1 i1,nahuí,uni4-bi1,-13.41248428,-22.29531683,3
s a u1 o1,sahuó,uni4-bi1,-13.53753342,-21.52006488,4
i1 e1 u i,yehui,uni4-bi1,-14.11538274,-23.81151181,5
s a u1 i1,sahuí,uni4-bi1,-12.86548195,-20.80872454,1
n1 i1 u i,nihui,uni4-bi1,-14.34700734,-24.68451032,2
i1 a1 i u,llayu,uni4-bi1,-13.68573151,-23.63356711,3
i o k1 i1,yoquí,uni4-bi2,-13.63708065,-16.72065781,4
t o ɾ1 u1,torú,uni4-bi2,-13.69314463,-18.35464257,5
k e p1 i1,quepí,uni4-bi2,-14.15497696,-16.68380073,1
n e i1 a1,neyá,uni4-bi2,-11.92281259,-18.61380414,2
n i k1 i1,niquí,uni4-bi2,-14.20872639,-17.92215166,3
n1 o1 i e,noye,uni4-bi2,-13.21025923,-18.41304799,4
i o i1 a1,yoyá,uni4-bi2,-12.0656738,-17.04024802,5
n e k1 e1,nequé,uni4-bi2,-13.66679172,-17.4546536,1
t a n1 i1,taní,uni4-bi2,-12.72395758,-16.59904881,2
n1 e1 k e,neque,uni4-bi2,-13.14427332,-17.5340557,3
s a i1 a1,sayá,uni4-bi2,-11.37087866,-16.59033043,4
s e u1 a1,sehuá,uni4-bi2,-12.61333459,-18.65614407,5
m a u1 a1,mahuá,uni4-bi2,-13.67576689,-18.72913775,1
i1 a1 m i,llami,uni4-bi2,-13.15768109,-17.89841099,2
s o u1 e1,sohué,uni4-bi2,-13.23172768,-18.80759402,3
n e n1 i1,není,uni4-bi2,-12.58408841,-17.98407538,4
n o ɾ1 i1,norí,uni4-bi2,-12.31081952,-17.35842381,5
n e ɾ1 i1,nerí,uni4-bi2,-12.12207766,-16.61784665,1
d1 a1 s i,dasi,uni4-bi2,-13.17331598,-16.62621703,2
d1 e1 n i,deni,uni4-bi2,-14.14996954,-17.53987091,3
i1 a1 i e,llaye,uni4-bi2,-11.87693194,-17.47421679,4
s a n1 i1,saní,uni4-bi2,-12.03215448,-17.07252583,5
n a i1 a1,nayá,uni4-bi2,-11.91788099,-18.07692272,1
n a n1 e1,nané,uni4-bi2,-12.7517291,-17.07779896,2
n o i1 a1,noyá,uni4-bi2,-12.11155445,-18.51110435,3
n a t1 u1,natú,uni4-bi2,-14.11891729,-18.34188016,4
i1 a1 s i,yasi,uni4-bi2,-12.0903172,-18.45067881,5
n o n1 i1,noní,uni4-bi2,-12.77283027,-17.46134626,1
i1 a1 t i,yati,uni4-bi2,-12.7821203,-18.26184081,2
u i s1 a1,huisá,uni4-bi2,-14.15168245,-17.09276646,3
i e i1 a1,yeyá,uni4-bi2,-11.87693194,-18.00828521,4
u e s1 i1,huesí,uni4-bi2,-13.69425445,-17.83442418,5
n1 a1 ɾ i,nari,uni4-bi2,-13.16347725,-17.14136682,1
n e t1 u1,netú,uni4-bi2,-14.12384888,-18.72550577,2
u i ɾ1 a1,guirá,uni4-bi2,-13.62791765,-17.10392675,3
s o i1 a1,soyá,uni4-bi2,-11.56455212,-17.48260667,4
l u ɾ1 a1,lurá,uni4-bi3,-14.16126911,-15.66090617,5
t o ɾ1 a1,torá,uni4-bi3,-12.19854134,-14.76661623,1
s o x1 i1,sojí,uni4-bi3,-14.14214237,-16.20773468,2
t o n1 a1,toná,uni4-bi3,-12.66055209,-14.77385177,3
f e ɾ1 i1,ferí,uni4-bi3,-14.108906652846038,-15.34094499616507,4
i a k1 e1,llaqué,uni4-bi3,-13.61597948,-15.64264904,5
i1 a1 s o,yaso,uni4-bi3,-11.56455212,-15.56762957,1
i a n1 e1,llané,uni4-bi3,-12.70584845,-15.41004411,2
n a b1 a1,nabá,uni4-bi3,-13.21349053,-15.9703844,3
p e i1 a1,peyá,uni4-bi3,-12.66930415,-15.60636658,4
i o ɾ1 i1,yorí,uni4-bi3,-12.26493888,-15.88756747,5
l e l1 a1,lelá,uni4-bi3,-13.64693323,-15.04296286,1
d e i1 a1,dellá,uni4-bi3,-12.2162053,-15.68253575,2
l a n1 e1,lané,uni4-bi3,-13.23919991,-15.68428304,3
s o ɾ1 a1,sorá,uni4-bi3,-11.50673825,-15.27986793,4
s u s1 a1,susá,uni4-bi3,-13.65056077,-14.67833794,5
t o i1 o1,toyó,uni4-bi3,-13.18548563,-14.72080908,1
s o ɾ1 i1,sorí,uni4-bi3,-11.76381719,-16.32992612,2
i e ɾ1 a1,llerá,uni4-bi3,-11.81911807,-14.96226952,3
i o d1 a1,yodá,uni4-bi3,-13.14867258,-15.33046079,4
u1 i1 b a,huiba,uni4-bi3,-14.1735458,-15.06240257,5
d e ɾ1 u1,derú,uni4-bi3,-13.65299471,-16.22454641,1
n a ɾ1 i1,narí,uni4-bi3,-12.11714607,-16.16369318,2
n1 i1 m e,nime,uni4-bi3,-13.10444996,-14.99705006,3
l o d1 a1,lodá,uni4-bi3,-13.68202403,-15.34385141,4
s o s1 i1,sosí,uni4-bi3,-12.287582,-15.32237035,5
l e k1 e1,lequé,uni4-bi3,-14.15426253,-15.92712862,1
s a i1 e1,sallé,uni4-bi3,-11.80052989,-14.74163047,2
n1 e1 s a,nesa,uni4-bi3,-12.20472677,-15.18869168,3
t o i1 e1,toyé,uni4-bi3,-12.68600644,-15.12065501,4
t e k1 i1,tequí,uni4-bi3,-13.6390202,-15.94353991,5
n i ɾ1 a1,nirá,uni4-bi3,-12.579505667676546,-16.199082403511937,1
i o n1 i1,yoní,uni4-bi3,-12.72694962,-15.99048993,2
d1 u1 s o,duso,uni4-bi3,-14.14215417,-14.74049407,3
i e d1 i1,lledí,uni4-bi3,-13.21700966,-16.19595491,4
s e n1 i1,sení,uni4-bi3,-12.03708608,-15.849465,5
i1 a1 d o,llado,uni4-bi4,-12.40494716,-11.53884806,1
s1 a1 ɾ o,saro,uni4-bi4,-12.69946622,-11.35766472,2
k1 a1 d e,cade,uni4-bi4,-13.53053321,-9.510513536,3
s1 a1 s e,sase,uni4-bi4,-11.84176119,-13.11619152,4
m1 a1 d e,made,uni4-bi4,-13.66210957,-10.22447088,5
t1 a1 d o,tado,uni4-bi4,-13.11138018,-9.056377541,1
m a ɾ1 i1,marí,uni4-bi4,-12.63750762,-14.00495393,2
s1 i1 d e,side,uni4-bi4,-12.93923518,-10.47429984,3
m1 a1 d o,mado,uni4-bi4,-13.85085143,-9.330889084,4
i1 a1 d e,llade,uni4-bi4,-12.2162053,-12.43242985,5
l1 a1 ɾ e,lare,uni4-bi4,-13.28142325,-12.07273938,1
t1 a1 d a,tada,uni4-bi4,-12.91770672,-10.14321718,2
t e ɾ1 a1,terá,uni4-bi4,-12.00979948,-12.97997153,3
d o t1 a1,dotá,uni4-bi4,-13.11138018,-13.02725898,4
l1 e1 d o,ledo,uni4-bi4,-14.07124821,-13.01229994,5
k a n1 o1,canó,uni4-bi4,-13.63882092,-14.0039303,1
s1 a1 d e,sade,uni4-bi4,-12.68215624,-10.48283744,2
d1 i1 ɾ o,diro,uni4-bi4,-13.57359300523832,-12.980926970940992,3
s1 a1 d a,sada,uni4-bi4,-12.67722464,-10.67609528,4
m1 a1 ɾ o,maro,uni4-bi4,-13.67941956,-11.09929816,5
g1 a1 d e,gade,uni4-bi4,-14.19343849,-10.49661614,1
p1 a1 m o,pamo,uni4-bi4,-14.2193888,-11.09276477,2
d1 a1 d e,dade,uni4-bi4,-13.29920407,-10.60796808,3
k1 u1 s e,cuse,uni4-bi4,-14.18474145,-12.12093491,4
d e s1 a1,desà,uni4-bi4,-12.68215624,-12.98618468,5
t1 i1 b e,tibe,uni4-bi4,-13.64738607,-12.07679073,1
s1 a1 t e,sate,uni4-bi4,-12.53356429,-12.0053385,2
t1 a1 d e,tade,uni4-bi4,-12.92263831,-9.949959337,3
p1 a1 d o,pado,uni4-bi4,-13.99241996,-9.228514574,4
s1 i1 s e,sise,uni4-bi4,-12.09884014,-11.96316436,5
i1 e1 s a,yesa,uni4-bi4,-11.80052989,-13.81973895,1
t i s1 o1,tisó,uni4-bi4,-14.17720165,-13.96236542,2
d a t1 i1,datí,uni4-bi4,-13.17478567,-13.96801094,3
t1 e1 ɾ a,tera,uni4-bi4,-13.17592607,-11.15010382,4
s a t1 a1,satá,uni4-bi4,-12.07731168,-13.96288089,5
t1 a1 ɾ e,tare,uni4-bi4,-12.75120644,-11.18552923,1
