,word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group,filename
0,ɲ1 o1 ɲ u,ñoñu,uni1-bi1,-22.34382204,-30.00934016,1,ɲ1_o1_ɲ_u.mp3
1,m1 u1 ɲ u,muñu,uni1-bi1,-20.50110981,-24.29528028,2,m1_u1_ɲ_u.mp3
2,t͡ʃ u f1 a1,chufá,uni1-bi1,-19.42035363,-20.23580463,3,t͡ʃ_u_f1_a1.mp3
3,t͡ʃ u ɲ1 e1,chuñé,uni1-bi1,-21.20898341,-19.9444396,4,t͡ʃ_u_ɲ1_e1.mp3
4,ɲ u i1 a1,ñuyá,uni1-bi1,-17.56060225,-26.30594642,5,ɲ_u_i1_a1.mp3
5,ɲ1 u1 l u,ñulu,uni1-bi1,-19.56777563,-28.17926104,1,ɲ1_u1_l_u.mp3
6,ɲ1 u1 ɲ o,ñuño,uni1-bi1,-21.28923719,-22.39294382,2,ɲ1_u1_ɲ_o.mp3
7,p i r1 u1,pirú,uni1-bi1,-17.52613861,-20.29256086,3,p_i_r1_u1.mp3
8,ɲ i ɲ1 o1,ñiñó,uni1-bi1,-21.24952941,-26.04989147,4,ɲ_i_ɲ1_o1.mp3
9,x1 o1 r u,jorru,uni1-bi1,-18.53696104,-22.27188496,5,x1_o1_r_u.mp3
10,ɲ u s1 u1,ñusú,uni1-bi1,-19.52115647,-26.25509244,1,ɲ_u_s1_u1.mp3
11,f1 a1 t͡ʃ u,fachu,uni1-bi1,-19.42035363,-22.35390168,2,f1_a1_t͡ʃ_u.mp3
12,r1 u1 ɲ u,ruñu,uni1-bi1,-21.70292976,-24.57595353,3,r1_u1_ɲ_u.mp3
13,ɲ1 o1 u i,ñohui,uni1-bi1,-18.4689513,-28.72015672,4,ɲ1_o1_u_i.mp3
14,ɲ1 o1 ɲ e,ñoñe,uni1-bi1,-20.53502246,-22.32393354,5,ɲ1_o1_ɲ_e.mp3
15,t͡ʃ1 o1 r i,chorri,uni1-bi1,-18.45588561,-20.26324956,1,t͡ʃ1_o1_r_i.mp3
16,ɲ1 i1 r u,ñirru,uni1-bi1,-19.39848763,-30.54832725,2,ɲ1_i1_r_u.mp3
17,t͡ʃ1 u1 t͡ʃ u,chuchu,uni1-bi1,-21.75357461,-22.64760152,3,t͡ʃ1_u1_t͡ʃ_u.mp3
18,ɲ i r1 u1,ñirú,uni1-bi1,-20.60863713,-30.54680471,4,ɲ_i_r1_u1.mp3
19,ɲ i ɲ1 i1,ñiñí,uni1-bi1,-20.57747794,-28.60263929,5,ɲ_i_ɲ1_i1.mp3
20,ɲ1 i1 m u,ñimu,uni1-bi1,-18.36314203,-26.33014468,1,ɲ1_i1_m_u.mp3
21,ɲ1 o1 ɲ i,ñoñi,uni1-bi1,-21.24952941,-28.43497778,2,ɲ1_o1_ɲ_i.mp3
22,ɲ u b1 u1,ñubú,uni1-bi1,-20.35081507,-26.24672789,3,ɲ_u_b1_u1.mp3
23,ɲ o u1 i1,ñohuí,uni1-bi1,-17.43514782,-28.1969997,4,ɲ_o_u1_i1.mp3
24,t͡ʃ u t͡ʃ1 u1,chuchú,uni1-bi1,-21.75357461,-20.96235133,5,t͡ʃ_u_t͡ʃ1_u1.mp3
25,ɲ1 u1 t͡ʃ u,ñuchu,uni1-bi1,-22.27393547,-27.92273555,1,ɲ1_u1_t͡ʃ_u.mp3
26,ɲ i u1 i1,ñihuí,uni1-bi1,-17.96091291,-31.04047473,2,ɲ_i_u1_i1.mp3
27,ɲ1 i1 ɲ u,ñiñu,uni1-bi1,-21.67177057,-30.71394478,3,ɲ1_i1_ɲ_u.mp3
28,ɲ o d1 u1,ñodú,uni1-bi1,-18.5181466,-24.33625809,4,ɲ_o_d1_u1.mp3
29,ɲ u t͡ʃ1 e1,ñuché,uni1-bi1,-21.32398199,-24.52553376,5,ɲ_u_t͡ʃ1_e1.mp3
30,ɲ u g1 a1,ñugá,uni1-bi1,-19.53783545,-24.3321325,1,ɲ_u_g1_a1.mp3
31,t͡ʃ1 e1 i u,cheyu,uni1-bi1,-17.44911125,-24.29415539,2,t͡ʃ1_e1_i_u.mp3
32,t͡ʃ1 u1 ɲ u,chuñu,uni1-bi1,-22.38893405,-26.21981339,3,t͡ʃ1_u1_ɲ_u.mp3
33,ɲ u i1 u1,ñuyú,uni1-bi1,-19.05520554,-30.13785221,4,ɲ_u_i1_u1.mp3
34,t͡ʃ u g1 u1,chugú,uni1-bi1,-20.39707929,-20.3845101,5,t͡ʃ_u_g1_u1.mp3
35,ɲ1 i1 b i,ñibi,uni1-bi1,-17.50954938,-22.26415284,1,ɲ1_i1_b_i.mp3
36,x u ɲ1 e1,juñé,uni1-bi2,-20.15379328,-17.86550385,2,x_u_ɲ1_e1.mp3
37,t͡ʃ1 u1 ɲ o,chuño,uni1-bi2,-20.76887633,-17.11780979,3,t͡ʃ1_u1_ɲ_o.mp3
38,t͡ʃ i t͡ʃ1 o1,chichó,uni1-bi2,-20.09380911,-18.87904345,4,t͡ʃ_i_t͡ʃ1_o1.mp3
39,t͡ʃ1 o1 t͡ʃ e,choche,uni1-bi2,-19.37930217,-16.70640065,5,t͡ʃ1_o1_t͡ʃ_e.mp3
40,t͡ʃ1 u1 f e,chufe,uni1-bi2,-18.73797337,-17.09367024,1,t͡ʃ1_u1_f_e.mp3
41,t͡ʃ i ɲ1 o1,chiñó,uni1-bi2,-20.61416997,-18.72612087,2,t͡ʃ_i_ɲ1_o1.mp3
42,x u g1 u1,jugú,uni1-bi2,-19.34188917,-18.30557434,3,x_u_g1_u1.mp3
43,r1 o1 x u,roju,uni1-bi2,-19.44690732,-18.74249056,4,r1_o1_x_u.mp3
44,l o ɲ1 o1,loñó,uni1-bi2,-17.38224504,-16.65324137,5,l_o_ɲ1_o1.mp3
45,t͡ʃ a ɲ1 e1,chañé,uni1-bi2,-19.39525224,-17.08508239,1,t͡ʃ_a_ɲ1_e1.mp3
46,r u g1 u1,rufú,uni1-bi2,-18.75915579,-17.45526441,2,r_u_g1_u1.mp3
47,d u f1 u1,dufú,uni1-bi2,-18.01471898,-18.72739247,3,d_u_f1_u1.mp3
48,b1 i1 t͡ʃ i,bichi,uni1-bi2,-17.38363867,-18.33226189,4,b1_i1_t͡ʃ_i.mp3
49,b u t͡ʃ1 u1,buchú,uni1-bi2,-19.32100548,-18.02627928,5,b_u_t͡ʃ1_u1.mp3
50,r1 u1 t͡ʃ i,ruchi,uni1-bi2,-19.97327769,-18.42607718,1,r1_u1_t͡ʃ_i.mp3
51,l u ɲ1 a1,luñá,uni1-bi2,-18.07317234,-17.47619615,2,l_u_ɲ1_a1.mp3
52,m u x1 u1,mujú,uni1-bi2,-18.06708831,-17.89793906,3,m_u_x1_u1.mp3
53,f1 e1 t͡ʃ i,fechi,uni1-bi2,-18.75571223,-18.71204454,4,f1_e1_t͡ʃ_i.mp3
54,t͡ʃ1 o1 ɲ o,choño,uni1-bi2,-20.20340347,-16.64792716,5,t͡ʃ1_o1_ɲ_o.mp3
55,t͡ʃ u s1 a1,chusá,uni1-bi2,-17.39119375,-17.47606431,1,t͡ʃ_u_s1_a1.mp3
56,f u t͡ʃ1 u1,fuchú,uni1-bi2,-20.54677295,-18.10625356,2,f_u_t͡ʃ1_u1.mp3
57,t͡ʃ a g1 i1,chaguí,uni1-bi2,-17.34582379,-17.8888321,3,t͡ʃ_a_g1_i1.mp3
58,p u t͡ʃ1 u1,puchú,uni1-bi2,-19.30643553,-17.41823047,4,p_u_t͡ʃ1_u1.mp3
59,f i ɲ1 i1,fiñí,uni1-bi2,-18.73531684,-18.38135652,5,f_i_ɲ1_i1.mp3
60,t͡ʃ i l1 o1,chiló,uni1-bi2,-17.99673043,-17.07646174,1,t͡ʃ_i_l1_o1.mp3
61,x u ɲ1 o1,juñó,uni1-bi2,-20.65327247,-16.94028301,2,x_u_ɲ1_o1.mp3
62,t͡ʃ e ɲ1 o1,cheñó,uni1-bi2,-19.89966302,-17.31693647,3,t͡ʃ_e_ɲ1_o1.mp3
63,t u ɲ1 o1,tuñó,uni1-bi2,-18.65963271,-16.68932969,4,t_u_ɲ1_o1.mp3
64,t͡ʃ1 u1 ɲ e,chuñe,uni1-bi2,-20.58013447,-18.53440677,5,t͡ʃ1_u1_ɲ_e.mp3
65,x1 o1 f o,jofo,uni1-bi2,-17.34802516,-17.04982632,1,x1_o1_f_o.mp3
66,r u f1 i1,rufí,uni1-bi2,-18.03950908,-16.71083026,2,r_u_f1_i1.mp3
67,x u b1 u1,jubú,uni1-bi2,-18.66026551,-17.84732364,3,x_u_b1_u1.mp3
68,t͡ʃ1 a1 d u,chadu,uni1-bi2,-17.35873339,-18.74992034,4,t͡ʃ1_a1_d_u.mp3
69,t͡ʃ1 u1 ɲ a,chuña,uni1-bi2,-20.57520288,-16.77541155,5,t͡ʃ1_u1_ɲ_a.mp3
70,x u t1 u1,jutú,uni1-bi2,-18.07108899,-18.31126825,1,x_u_t1_u1.mp3
71,f u ɲ1 e1,fuñé,uni1-bi2,-20.00218175,-17.08834184,2,f_u_ɲ1_e1.mp3
72,x u t͡ʃ1 o1,juchó,uni1-bi3,-20.13291161,-15.29447745,3,x_u_t͡ʃ1_o1.mp3
73,b1 i1 ɲ e,biñe,uni1-bi3,-17.30449116,-15.34734412,4,b1_i1_ɲ_e.mp3
74,g u r1 o1,gurró,uni1-bi3,-19.02902781,-15.11892149,5,g_u_r1_o1.mp3
75,x1 u1 ɲ a,juña,uni1-bi3,-19.56198568,-15.81633287,1,x1_u1_ɲ_a.mp3
76,g1 u1 ɲ a,guña,uni1-bi3,-19.21870757,-14.90147944,2,g1_u1_ɲ_a.mp3
77,p u f1 o1,pufó,uni1-bi3,-17.90234497,-15.10082542,3,p_u_f1_o1.mp3
78,t͡ʃ1 e1 t͡ʃ o,checho,uni1-bi3,-19.06856484,-15.56270594,4,t͡ʃ1_e1_t͡ʃ_o.mp3
79,f u t͡ʃ1 e1,fuché,uni1-bi3,-19.48182089,-15.34896751,5,f_u_t͡ʃ1_e1.mp3
80,x u x1 o1,jujó,uni1-bi3,-19.11969441,-16.03396981,1,x_u_x1_o1.mp3
81,t͡ʃ e k1 o1,checó,uni1-bi3,-17.35990156,-16.24628141,2,t͡ʃ_e_k1_o1.mp3
82,g a ɲ1 o1,gañó,uni1-bi3,-18.42166179,-14.94898602,3,g_a_ɲ1_o1.mp3
83,s1 u1 ɲ o,suño,uni1-bi3,-17.90109876,-15.31581254,4,s1_u1_ɲ_o.mp3
84,r1 u1 ɲ o,ruño,uni1-bi3,-20.08287204,-15.47394994,5,r1_u1_ɲ_o.mp3
85,r u ɲ1 o1,ruñó,uni1-bi3,-20.0705391,-16.08997308,1,r_u_ɲ1_o1.mp3
86,k u ɲ1 e1,cuñé,uni1-bi3,-18.40296539,-15.33048294,2,k_u_ɲ1_e1.mp3
87,f u r1 a1,furrá,uni1-bi3,-18.36616537,-16.21868219,3,f_u_r1_a1.mp3
88,x u m1 a1,jumá,uni1-bi3,-17.31595696,-15.98320947,4,x_u_m1_a1.mp3
89,t͡ʃ1 e1 ɲ a,cheña,uni1-bi3,-19.51025082,-15.24629302,5,t͡ʃ1_e1_ɲ_a.mp3
90,r e x1 u1,rejú,uni1-bi3,-17.29363433,-15.07185368,1,r_e_x1_u1.mp3
91,x1 o1 x a,joja,uni1-bi3,-17.30596324,-14.74159014,2,x1_o1_x_a.mp3
92,f1 u1 ɲ o,fuño,uni1-bi3,-19.93025864,-15.12815003,3,f1_u1_ɲ_o.mp3
93,g u m1 o1,gumó,uni1-bi3,-17.82720786,-14.78384083,4,g_u_m1_o1.mp3
94,r1 o1 t͡ʃ o,rocho,uni1-bi3,-18.88203973,-14.7111634,5,r1_o1_t͡ʃ_o.mp3
95,g u ɲ1 o1,guñó,uni1-bi3,-20.23539296,-16.14392515,1,g_u_ɲ1_o1.mp3
96,r u t͡ʃ1 e1,ruché,uni1-bi3,-19.05069905,-15.27581959,2,r_u_t͡ʃ1_e1.mp3
97,l1 u1 ɲ a,luña,uni1-bi3,-18.4781242,-15.69617554,3,l1_u1_ɲ_a.mp3
98,t͡ʃ1 o1 x o,chojo,uni1-bi3,-18.5128539,-14.76610978,4,t͡ʃ1_o1_x_o.mp3
99,t͡ʃ1 u1 k o,chuco,uni1-bi3,-17.32749888,-15.67300675,5,t͡ʃ1_u1_k_o.mp3
100,k i ɲ1 o1,quiñó,uni1-bi3,-17.80815195,-16.21032625,1,k_i_ɲ1_o1.mp3
101,t͡ʃ1 i1 x o,chijo,uni1-bi3,-17.84080243,-15.65158247,2,t͡ʃ1_i1_x_o.mp3
102,f1 u1 ɲ a,fuña,uni1-bi3,-19.73658519,-14.78575178,3,f1_u1_ɲ_a.mp3
103,t͡ʃ1 e1 ɲ o,cheño,uni1-bi3,-19.70392428,-15.58869126,4,t͡ʃ1_e1_ɲ_o.mp3
104,x u t͡ʃ1 e1,juché,uni1-bi3,-19.63343243,-16.12612952,5,x_u_t͡ʃ1_e1.mp3
105,x u g1 a1,jugá,uni1-bi3,-17.84728588,-15.93272826,1,x_u_g1_a1.mp3
106,t͡ʃ1 a1 t͡ʃ e,chache,uni1-bi3,-18.45017175,-15.85406417,2,t͡ʃ1_a1_t͡ʃ_e.mp3
107,t͡ʃ u d1 o1,chudó,uni1-bi3,-18.937372,-16.28782932,3,t͡ʃ_u_d1_o1.mp3
108,f1 u1 t͡ʃ a,fucha,uni1-bi4,-19.10122575,-13.24018804,4,f1_u1_t͡ʃ_a.mp3
109,b1 u1 t͡ʃ a,bucha,uni1-bi4,-17.90172446,-12.91468944,5,b1_u1_t͡ʃ_a.mp3
110,r u d1 o1,rudó,uni1-bi4,-17.2994485,-13.35858363,1,r_u_d1_o1.mp3
111,r1 o1 t͡ʃ a,rocha,uni1-bi4,-18.68836628,-14.33152415,2,r1_o1_t͡ʃ_a.mp3
112,g1 u1 t͡ʃ o,gucho,uni1-bi4,-18.77702158,-13.73555495,3,g1_u1_t͡ʃ_o.mp3
113,k1 a1 ɲ o,caño,uni1-bi4,-17.25487245,-12.20820201,4,k1_a1_ɲ_o.mp3
114,r u p1 o1,rupó,uni1-bi4,-17.80392253,-13.82886008,5,r_u_p1_o1.mp3
115,r1 e1 t͡ʃ a,recha,uni1-bi4,-18.18888709,-13.41567335,1,r1_e1_t͡ʃ_a.mp3
116,g1 u1 x o,gujo,uni1-bi4,-17.72183145,-14.22278119,2,g1_u1_x_o.mp3
117,r1 a1 ɲ a,raña,uni1-bi4,-18.39459531,-13.13736596,3,r1_a1_ɲ_a.mp3
118,f u d1 o1,fudó,uni1-bi4,-17.73057034,-13.43173155,4,f_u_d1_o1.mp3
119,k1 u1 t͡ʃ a,cucha,uni1-bi4,-17.92044284,-11.82140476,5,k1_u1_t͡ʃ_a.mp3
120,p1 u1 t͡ʃ a,pucha,uni1-bi4,-18.19358773,-12.60177714,1,p1_u1_t͡ʃ_a.mp3
121,r1 u1 t͡ʃ a,rucha,uni1-bi4,-19.25383915,-13.58598795,2,r1_u1_t͡ʃ_a.mp3
122,f1 u1 t͡ʃ o,fucho,uni1-bi4,-19.2948992,-13.61982729,3,f1_u1_t͡ʃ_o.mp3
123,k1 u1 t͡ʃ o,cucho,uni1-bi4,-18.11411629,-12.20104401,4,k1_u1_t͡ʃ_o.mp3
124,r u t͡ʃ1 o1,ruchó,uni1-bi4,-19.55017824,-14.44416752,5,r_u_t͡ʃ1_o1.mp3
125,g1 a1 ɲ a,gaña,uni1-bi4,-17.72410428,-12.85190637,1,g1_a1_ɲ_a.mp3
126,k1 u1 t͡ʃ e,cuche,uni1-bi4,-17.92537443,-12.74333592,2,k1_u1_t͡ʃ_e.mp3
127,r1 a1 ɲ o,raño,uni1-bi4,-18.58826876,-13.4797642,3,r1_a1_ɲ_o.mp3
128,p1 a1 ɲ a,paña,uni1-bi4,-17.33434389,-12.4773866,4,p1_a1_ɲ_a.mp3
129,m1 e1 t͡ʃ o,mecho,uni1-bi4,-17.18074059,-12.88997029,5,m1_e1_t͡ʃ_o.mp3
130,m1 e1 ɲ o,meño,uni1-bi4,-17.81610003,-12.91595561,1,m1_e1_ɲ_o.mp3
131,r e r1 o1,rerró,uni1-bi4,-17.05537437,-12.25587832,2,r_e_r1_o1.mp3
132,f u p1 o1,fupó,uni1-bi4,-18.23504437,-13.902008,3,f_u_p1_o1.mp3
133,t͡ʃ1 a1 ɲ a,chaña,uni1-bi4,-19.0805996,-13.95992595,4,t͡ʃ1_a1_ɲ_a.mp3
134,s1 u1 t͡ʃ o,sucho,uni1-bi4,-17.26573932,-13.8074898,5,s1_u1_t͡ʃ_o.mp3
135,f1 e1 t͡ʃ o,fecho,uni1-bi4,-18.22994714,-14.25159456,1,f1_e1_t͡ʃ_o.mp3
136,t͡ʃ1 a1 ɲ o,chaño,uni1-bi4,-19.27427305,-14.30232419,2,t͡ʃ1_a1_ɲ_o.mp3
137,g1 u1 t͡ʃ a,gucha,uni1-bi4,-18.58334813,-13.3559157,3,g1_u1_t͡ʃ_a.mp3
138,p u t͡ʃ1 o1,puchó,uni1-bi4,-18.74096266,-13.82929235,4,p_u_t͡ʃ1_o1.mp3
139,r1 u1 t͡ʃ o,rucho,uni1-bi4,-19.4475126,-13.9656272,5,r1_u1_t͡ʃ_o.mp3
140,r1 o1 r o,rorro,uni1-bi4,-17.24411623,-14.28874874,1,r1_o1_r_o.mp3
141,p1 u1 t͡ʃ o,pucho,uni1-bi4,-18.38726118,-12.98141639,2,p1_u1_t͡ʃ_o.mp3
142,m1 e1 ɲ a,meña,uni1-bi4,-17.62242658,-12.57355737,3,m1_e1_ɲ_a.mp3
143,k u t͡ʃ1 o1,cuchó,uni1-bi4,-18.38208372,-12.75945654,4,k_u_t͡ʃ1_o1.mp3
144,u1 i1 r i,huiri,uni2-bi1,-15.68762997,-25.12670369,5,u1_i1_r_i.mp3
145,n i f1 u1,nifú,uni2-bi1,-16.62703364,-19.95569242,1,n_i_f1_u1.mp3
146,i1 u1 b u,yubu,uni2-bi1,-15.98727697,-23.03369544,2,i1_u1_b_u.mp3
147,t1 e1 f u,tefu,uni2-bi1,-16.8545254,-21.38356425,3,t1_e1_f_u.mp3
148,ɲ1 a1 t i,ñati,uni2-bi1,-16.63620967,-21.43950402,4,ɲ1_a1_t_i.mp3
149,l1 i1 r u,lirru,uni2-bi1,-16.78104809,-24.31089601,5,l1_i1_r_u.mp3
150,u1 o1 t u,huotu,uni2-bi1,-16.04306768,-24.91270518,1,u1_o1_t_u.mp3
151,g1 e1 i u,gueyu,uni2-bi1,-16.09261594,-24.22078231,2,g1_e1_i_u.mp3
152,i1 u1 l u,yulu,uni2-bi1,-15.71368625,-24.42506832,3,i1_u1_l_u.mp3
153,u1 o1 ɾ u,huoru,uni2-bi1,-16.02022775,-24.64138327,4,u1_o1_ɾ_u.mp3
154,m1 a1 p u,mapu,uni2-bi1,-15.924008,-19.93094803,5,m1_a1_p_u.mp3
155,l1 e1 b u,lebu,uni2-bi1,-16.15897474,-19.89964062,1,l1_e1_b_u.mp3
156,f1 e1 i u,feyu,uni2-bi1,-16.61049356,-22.98304401,2,f1_e1_i_u.mp3
157,p1 o1 i u,poyu,uni2-bi1,-16.20233473,-21.41646286,3,p1_o1_i_u.mp3
158,g a u1 o1,gahuó,uni2-bi1,-15.80509676,-21.46183984,4,g_a_u1_o1.mp3
159,n1 i1 r u,niru,uni2-bi1,-15.94859513,-26.01571559,5,n1_i1_r_u.mp3
160,x1 i1 s u,gisu,uni2-bi1,-15.76220008,-19.96898805,1,x1_i1_s_u.mp3
161,l1 i1 p u,lipu,uni2-bi1,-15.97183251,-21.3576917,2,l1_i1_p_u.mp3
162,x o u1 o1,johuó,uni2-bi1,-16.41664973,-24.18161328,3,x_o_u1_o1.mp3
163,u1 i1 r u,huiru,uni2-bi1,-16.78192259,-26.9177371,4,u1_i1_r_u.mp3
164,u1 o1 u i,huohui,uni2-bi1,-15.85238627,-28.35365474,5,u1_o1_u_i.mp3
165,n1 u1 m u,numu,uni2-bi1,-16.15077387,-23.00215506,1,n1_u1_m_u.mp3
166,b1 i1 r u,birru,uni2-bi1,-16.84000779,-22.86713321,2,b1_i1_r_u.mp3
167,u1 o1 l u,huolu,uni2-bi1,-16.38573773,-25.38532776,3,u1_o1_l_u.mp3
168,ɲ o s1 a1,ñosá,uni2-bi1,-16.40649548,-21.41065482,4,ɲ_o_s1_a1.mp3
169,m1 u1 t u,mutu,uni2-bi1,-16.81692048,-19.98756196,5,m1_u1_t_u.mp3
170,g1 e1 u i,guehui,uni2-bi1,-16.09261594,-25.1405171,1,g1_e1_u_i.mp3
171,x1 e1 i u,geyu,uni2-bi1,-16.43589405,-22.88216201,2,x1_e1_i_u.mp3
172,u1 o1 p u,huopu,uni2-bi1,-16.64475848,-25.78361628,3,u1_o1_p_u.mp3
173,g i u1 o1,guihuó,uni2-bi1,-16.5245353,-24.14196038,4,g_i_u1_o1.mp3
174,u1 o1 m u,huomu,uni2-bi1,-16.41862847,-25.22373126,5,u1_o1_m_u.mp3
175,u1 o1 d u,huodu,uni2-bi1,-16.19165963,-26.11905335,1,u1_o1_d_u.mp3
176,u1 o1 b u,huobu,uni2-bi1,-16.65932844,-25.19606201,2,u1_o1_b_u.mp3
177,i1 o1 g u,yogu,uni2-bi1,-16.38130359,-19.94418271,3,i1_o1_g_u.mp3
178,n1 o1 p u,nopu,uni2-bi1,-15.81143102,-22.92209464,4,n1_o1_p_u.mp3
179,u1 o1 i u,huoyu,uni2-bi1,-15.85238627,-27.43391995,5,u1_o1_i_u.mp3
180,k i x1 u1,quijú,uni2-bi2,-16.84004676,-17.48317663,1,k_i_x1_u1.mp3
181,r i r1 a1,rirrá,uni2-bi2,-16.8407509,-18.76296075,2,r_i_r1_a1.mp3
182,m1 e1 t u,metu,uni2-bi2,-15.75196842,-18.3395366,3,m1_e1_t_u.mp3
183,ɲ1 i1 t a,ñita,uni2-bi2,-16.17385007,-18.72256173,4,ɲ1_i1_t_a.mp3
184,r1 o1 k i,roqui,uni2-bi2,-16.6017868,-18.31872906,5,r1_o1_k_i.mp3
185,b1 e1 m u,bemu,uni2-bi2,-15.97723448,-18.31230074,1,b1_e1_m_u.mp3
186,g e x1 a1,guejá,uni2-bi2,-15.96388491,-16.68977863,2,g_e_x1_a1.mp3
187,i o r1 u1,yorrú,uni2-bi2,-16.2080013,-17.90464295,3,i_o_r1_u1.mp3
188,g1 u1 m i,gumi,uni2-bi2,-16.62951757,-17.90294512,4,g1_u1_m_i.mp3
189,t͡ʃ o i1 e1,choyé,uni2-bi2,-15.73483632,-17.09606927,5,t͡ʃ_o_i1_e1.mp3
