,word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group,filename
190,n i t͡ʃ1 a1,nichá,uni2-bi2,-15.97104805,-18.72813993,1,n_i_t͡ʃ1_a1.mp3
191,t͡ʃ1 e1 p o,chepo,uni2-bi2,-16.62142576,-17.48686381,2,t͡ʃ1_e1_p_o.mp3
192,i1 u1 t͡ʃ o,yucho,uni2-bi2,-16.79978838,-17.13042837,3,i1_u1_t͡ʃ_o.mp3
193,l o t͡ʃ1 e1,loché,uni2-bi2,-16.362405,-17.51718803,4,l_o_t͡ʃ1_e1.mp3
194,t u f1 a1,tufá,uni2-bi2,-16.37152375,-17.90591555,5,t_u_f1_a1.mp3
195,g e f1 i1,guefí,uni2-bi2,-16.39556336,-18.33931708,1,g_e_f1_i1.mp3
196,x1 o1 ɾ i,jori,uni2-bi2,-16.0089221,-17.53022266,2,x1_o1_ɾ_i.mp3
197,g1 o1 f e,gofe,uni2-bi2,-16.81600519,-16.70958164,3,g1_o1_f_e.mp3
198,p1 a1 f i,pafi,uni2-bi2,-16.21162133,-17.4346252,4,p1_a1_f_i.mp3
199,ɲ1 i1 t o,ñito,uni2-bi2,-16.36752353,-18.75291423,5,ɲ1_i1_t_o.mp3
200,n a ɲ1 a1,nañá,uni2-bi2,-15.77197036,-16.6900308,1,n_a_ɲ1_a1.mp3
201,r o l1 u1,rolú,uni2-bi2,-16.39851471,-17.11125314,2,r_o_l1_u1.mp3
202,n u b1 o1,nubó,uni2-bi2,-15.95635211,-17.0938935,3,n_u_b1_o1.mp3
203,m a r1 u1,marrú,uni2-bi2,-16.58057005,-17.05264039,4,m_a_r1_u1.mp3
204,t a ɲ1 i1,tañí,uni2-bi2,-16.17385007,-17.08648186,5,t_a_ɲ1_i1.mp3
205,u1 i1 t͡ʃ o,huicho,uni2-bi2,-16.79978838,-17.9224158,1,u1_i1_t͡ʃ_o.mp3
206,x1 i1 m i,gimi,uni2-bi2,-15.73527134,-17.52418298,2,x1_i1_m_i.mp3
207,p1 i1 x i,pigi,uni2-bi2,-16.6203118,-16.7067625,3,p1_i1_x_i.mp3
208,ɲ1 a1 n o,ñano,uni2-bi2,-15.96564382,-17.90274981,4,ɲ1_a1_n_o.mp3
209,g1 u1 d i,gudi,uni2-bi2,-16.40254872,-16.66477138,5,g1_u1_d_i.mp3
210,t u m1 u1,tumú,uni2-bi2,-16.81692048,-18.32664649,1,t_u_m1_u1.mp3
211,n e t͡ʃ1 o1,nechó,uni2-bi2,-16.18567151,-16.66738641,2,n_e_t͡ʃ1_o1.mp3
212,ɲ1 i1 t e,ñite,uni2-bi2,-16.17878166,-18.31111374,3,ɲ1_i1_t_e.mp3
213,d1 a1 f i,dafi,uni2-bi2,-15.7071473,-17.92049691,4,d1_a1_f_i.mp3
214,ɲ1 i1 k o,ñico,uni2-bi2,-16.61033539,-18.7133365,5,ɲ1_i1_k_o.mp3
215,l i r1 a1,lirá,uni2-bi2,-15.77251457,-18.7419917,1,l_i_r1_a1.mp3
216,r i x1 i1,rigí,uni2-bi3,-16.77061694,-15.98676326,2,r_i_x1_i1.mp3
217,r a f1 e1,rafé,uni2-bi3,-16.39835019,-15.95279698,3,r_a_f1_e1.mp3
218,r u ɾ1 o1,ruró,uni2-bi3,-16.15863586,-14.74423203,4,r_u_ɾ1_o1.mp3
219,l1 i1 t͡ʃ o,licho,uni2-bi3,-16.79891387,-15.31557471,5,l1_i1_t͡ʃ_o.mp3
220,l u m1 o1,lumó,uni2-bi3,-16.59411766,-15.91988438,1,l_u_m1_o1.mp3
221,r1 i1 p o,ripo,uni2-bi3,-15.76284918,-15.03062129,2,r1_i1_p_o.mp3
222,x u s1 i1,jusí,uni2-bi3,-16.59308257,-15.02758601,3,x_u_s1_i1.mp3
223,t͡ʃ1 u1 s a,chusa,uni2-bi3,-16.19921046,-15.96109641,4,t͡ʃ1_u1_s_a.mp3
224,x1 u1 l o,julo,uni2-bi3,-16.41413985,-14.75505333,5,x1_u1_l_o.mp3
225,k1 u1 b i,cubi,uni2-bi3,-16.20731226,-15.0769135,1,k1_u1_b_i.mp3
226,t͡ʃ a d1 e1,chadé,uni2-bi3,-16.62416165,-14.7790884,2,t͡ʃ_a_d1_e1.mp3
227,r i p1 e1,ripé,uni2-bi3,-16.21015071,-16.22787479,3,r_i_p1_e1.mp3
228,k u f1 a1,cufá,uni2-bi3,-16.61433562,-15.62184796,4,k_u_f1_a1.mp3
229,t͡ʃ1 e1 d e,chede,uni2-bi3,-15.97958503,-15.32317855,5,t͡ʃ1_e1_d_e.mp3
230,x e p1 o1,gepó,uni2-bi3,-16.57785632,-15.34131984,1,x_e_p1_o1.mp3
231,f1 a1 f e,fafe,uni2-bi3,-16.4047524,-16.25194222,2,f1_a1_f_e.mp3
232,f e g1 o1,fegó,uni2-bi3,-16.81600519,-14.76437004,3,f_e_g1_o1.mp3
233,t͡ʃ a b1 a1,chabá,uni2-bi3,-16.40712118,-15.63644261,4,t͡ʃ_a_b1_a1.mp3
234,d1 o1 x i,dogi,uni2-bi3,-16.78788925,-16.30713158,5,d1_o1_x_i.mp3
235,t͡ʃ a ɾ1 o1,charó,uni2-bi3,-15.98282819,-15.05301467,1,t͡ʃ_a_ɾ1_o1.mp3
236,b i x1 i1,bigí,uni2-bi3,-15.97597131,-14.74357272,2,b_i_x1_i1.mp3
237,x u i1 o1,juyó,uni2-bi3,-16.7991831,-15.65799628,3,x_u_i1_o1.mp3
238,x1 e1 g e,gegue,uni2-bi3,-16.39353613,-15.34247188,4,x1_e1_g_e.mp3
239,t͡ʃ a b1 e1,chabé,uni2-bi3,-16.83677241,-15.06654254,5,t͡ʃ_a_b1_e1.mp3
240,p i k1 u1,picú,uni2-bi3,-16.1927423,-15.35696646,1,p_i_k1_u1.mp3
241,m1 u1 g e,mugue,uni2-bi3,-16.58388115,-16.24126765,2,m1_u1_g_e.mp3
242,l1 u1 g a,luga,uni2-bi3,-16.36969512,-15.02467035,3,l1_u1_g_a.mp3
243,x o b1 e1,jobé,uni2-bi3,-15.97525573,-15.6000379,4,x_o_b1_e1.mp3
244,x1 i1 b i,gibi,uni2-bi3,-15.97597131,-16.21226168,5,x1_i1_b_i.mp3
245,x a b1 e1,jabé,uni2-bi3,-15.78158228,-14.73391277,1,x_a_b1_e1.mp3
246,k i f1 e1,quifé,uni2-bi3,-15.94969421,-15.96224315,2,k_i_f1_e1.mp3
247,p o f1 e1,pofé,uni2-bi3,-15.78280806,-15.64188321,3,p_o_f1_e1.mp3
248,b a p1 u1,bapú,uni2-bi3,-15.761018603125391,-16.272661276021363,4,b_a_p1_u1.mp3
249,d i b1 u1,dibú,uni2-bi3,-15.72092506,-15.92608731,5,d_i_b1_u1.mp3
250,f i k1 i1,fiquí,uni2-bi3,-16.19555538,-15.62572251,1,f_i_k1_i1.mp3
251,k a g1 u1,cagú,uni2-bi3,-15.77733011,-15.33308691,2,k_a_g1_u1.mp3
252,f1 u1 l a,fula,uni2-bi4,-16.39506591,-14.17638947,3,f1_u1_l_a.mp3
253,l1 o1 x e,loge,uni2-bi4,-16.22703335,-13.57437287,4,l1_o1_x_e.mp3
254,d1 e1 t͡ʃ o,decho,uni2-bi4,-16.8178351,-13.55707275,5,d1_e1_t͡ʃ_o.mp3
255,t͡ʃ1 a1 l a,chala,uni2-bi4,-15.73908032,-13.57671019,1,t͡ʃ1_a1_l_a.mp3
256,x1 u1 d o,judo,uni2-bi4,-16.22006175,-12.93150882,2,x1_u1_d_o.mp3
257,k u d1 o1,cudó,uni2-bi4,-16.13135399,-11.67387265,3,k_u_d1_o1.mp3
258,f i k1 o1,ficó,uni2-bi4,-16.86760685,-12.96895735,4,f_i_k1_o1.mp3
259,r e x1 e1,rejé,uni2-bi4,-16.22868227,-11.86165292,5,r_e_x1_e1.mp3
260,r1 e1 b a,reba,uni2-bi4,-15.75631797,-12.95098639,1,r1_e1_b_a.mp3
261,r1 o1 ɾ o,roro,uni2-bi4,-15.81036992,-11.88139247,2,r1_o1_ɾ_o.mp3
262,m1 u1 g a,muga,uni2-bi4,-16.57894956,-14.17937326,3,m1_u1_g_a.mp3
263,f1 u1 d o,fudo,uni2-bi4,-16.39466126,-11.90092773,4,f1_u1_d_o.mp3
264,m1 a1 t͡ʃ a,macha,uni2-bi4,-16.55741592,-13.55196817,5,m1_a1_t͡ʃ_a.mp3
265,b1 o1 x e,boge,uni2-bi4,-16.28599306,-12.90596028,1,b1_o1_x_e.mp3
266,f1 i1 g a,figa,uni2-bi4,-16.39063177,-12.16332469,2,f1_i1_g_a.mp3
267,f1 a1 r e,farre,uni2-bi4,-15.97363056,-14.19960637,3,f1_a1_r_e.mp3
268,f1 u1 ɾ o,furo,uni2-bi4,-16.22322939,-12.31533596,4,f1_u1_ɾ_o.mp3
269,i1 e1 t͡ʃ o,yecho,uni2-bi4,-15.73483632,-14.16032756,5,i1_e1_t͡ʃ_o.mp3
270,t͡ʃ1 o1 n e,chone,uni2-bi4,-16.18567151,-14.20900846,1,t͡ʃ1_o1_n_e.mp3
271,p1 o1 x a,poja,uni2-bi4,-16.57292473,-12.39943849,2,p1_o1_x_a.mp3
272,x1 a1 x e,jage,uni2-bi4,-16.38176442,-13.57792632,3,x1_a1_x_e.mp3
273,t1 a1 ɲ a,taña,uni2-bi4,-16.4533041,-12.30524957,4,t1_a1_ɲ_a.mp3
274,f i k1 a1,ficá,uni2-bi4,-15.93847644,-13.56548978,5,f_i_k1_a1.mp3
275,k u d1 e1,cudé,uni2-bi4,-15.6318748,-12.1582242,1,k_u_d1_e1.mp3
276,f1 u1 b a,fuba,uni2-bi4,-16.66865662,-12.92453666,2,f1_u1_b_a.mp3
277,g1 u1 d o,gudo,uni2-bi4,-15.87678364,-12.01665539,3,g1_u1_d_o.mp3
278,b1 e1 x e,bege,uni2-bi4,-15.78651387,-12.32152271,4,b1_e1_x_e.mp3
279,t͡ʃ1 a1 b e,chabe,uni2-bi4,-16.01760263,-12.98556493,5,t͡ʃ1_a1_b_e.mp3
280,f i l1 o1,filó,uni2-bi4,-16.78992877,-14.17894957,1,f_i_l1_o1.mp3
281,t͡ʃ1 a1 d o,chado,uni2-bi4,-15.73867567,-10.71105392,2,t͡ʃ1_a1_d_o.mp3
282,k1 u1 x e,cuge,uni2-bi4,-16.8701843,-12.22991664,3,k1_u1_x_e.mp3
283,r e k1 o1,recó,uni2-bi4,-15.721978061275996,-12.25758270768626,4,r_e_k1_o1.mp3
284,m1 e1 x e,meje,uni2-bi4,-15.9368086,-12.11053165,5,m1_e1_x_e.mp3
285,r1 o1 n o,rono,uni2-bi4,-15.68840908,-12.15179607,1,r1_o1_n_o.mp3
286,f1 u1 ɾ a,fura,uni2-bi4,-16.02955593,-12.176094579999999,2,f1_u1_ɾ_a.mp3
287,p1 o1 r e,porre,uni2-bi4,-15.99512295,-12.37445773,3,p1_o1_r_e.mp3
288,u1 a1 n u,guanu,uni3-bi1,-14.9691365,-22.53622931,4,u1_a1_n_u.mp3
289,u1 o1 ɾ i,huori,uni3-bi1,-14.92593513,-21.20552809,5,u1_o1_ɾ_i.mp3
290,u1 o1 u o,huohuo,uni3-bi1,-15.32662118,-26.37811141,1,u1_o1_u_o.mp3
291,n1 e1 d u,nedu,uni3-bi1,-14.85885298,-22.43503752,2,n1_e1_d_u.mp3
292,u o i1 u1,huoyú,uni3-bi1,-14.65456971,-25.565343,3,u_o_i1_u1.mp3
293,g e u1 i1,guehuí,uni3-bi1,-15.13797688,-22.4989717,4,g_e_u1_i1.mp3
294,f o u1 a1,fohuá,uni3-bi1,-15.33590778,-21.2139043,5,f_o_u1_a1.mp3
295,n1 o1 i u,noyu,uni3-bi1,-15.01905881,-24.57239831,1,n1_o1_i_u.mp3
296,s1 u1 k i,suqui,uni3-bi1,-14.98548639,-19.90488418,2,s1_u1_k_i.mp3
297,n1 o1 l u,nolu,uni3-bi1,-15.55241026,-22.52380612,3,n1_o1_l_u.mp3
298,n1 o1 s u,nosu,uni3-bi1,-14.51793712,-21.30120896,4,n1_o1_s_u.mp3
299,p1 i1 u e,pihue,uni3-bi1,-14.81577631,-19.81614044,5,p1_i1_u_e.mp3
300,i1 a1 r u,llarru,uni3-bi1,-15.28731931,-22.57866112,1,i1_a1_r_u.mp3
301,f a u1 a1,fahuá,uni3-bi1,-15.14223432,-19.87988246,2,f_a_u1_a1.mp3
302,d1 e1 u o,dehuo,uni3-bi1,-14.67261643,-21.23271366,3,d1_e1_u_o.mp3
303,n1 o1 u i,nohui,uni3-bi1,-15.01905881,-25.4921331,4,n1_o1_u_i.mp3
304,t1 u1 s u,tusu,uni3-bi1,-15.38564613,-19.83274622,5,t1_u1_s_u.mp3
305,u1 i1 u o,huihuo,uni3-bi1,-14.65456971,-23.6109885,1,u1_i1_u_o.mp3
306,u1 o1 u e,huohue,uni3-bi1,-15.13787932,-26.04655928,2,u1_o1_u_e.mp3
307,n i u1 o1,nihuó,uni3-bi1,-14.80397429,-23.82696145,3,n_i_u1_o1.mp3
308,u1 a1 u i,guahui,uni3-bi1,-14.92325585,-24.49514478,4,u1_a1_u_i.mp3
309,u1 o1 p i,huopi,uni3-bi1,-15.55046586,-23.8195994,5,u1_o1_p_i.mp3
310,u1 e1 u i,huehui,uni3-bi1,-15.35290708,-23.89314144,1,u1_e1_u_i.mp3
311,m1 a1 u o,mahuo,uni3-bi1,-14.6058707,-19.81548886,2,m1_a1_u_o.mp3
312,u1 a1 i u,guayu,uni3-bi1,-14.92325585,-24.12972072,3,u1_a1_i_u.mp3
313,d u i1 u1,duyú,uni3-bi1,-15.51960816,-21.16388768,4,d_u_i1_u1.mp3
314,u1 a1 ɾ u,guaru,uni3-bi1,-15.09109734,-21.21754879,5,u1_a1_ɾ_u.mp3
315,n1 e1 u i,nehui,uni3-bi1,-14.51957962,-25.18046453,1,n1_e1_u_i.mp3
316,ɲ1 i1 s e,ñise,uni3-bi1,-15.48697857,-19.81648291,2,ɲ1_i1_s_e.mp3
317,u1 i1 u i,huihui,uni3-bi1,-15.1803348,-25.58653183,3,u1_i1_u_i.mp3
318,u o u1 o1,huohuó,uni3-bi1,-15.32662118,-27.44042866,4,u_o_u1_o1.mp3
319,u e u1 o1,huehuó,uni3-bi1,-15.13787932,-25.19604828,5,u_e_u1_o1.mp3
320,u i u1 i1,huihuí,uni3-bi1,-15.1803348,-24.02046546,1,u_i_u1_i1.mp3
321,n1 e1 n u,nenu,uni3-bi1,-14.56546026,-22.5340357,2,n1_e1_n_u.mp3
322,i1 u1 i u,yuyu,uni3-bi1,-15.1803348,-24.65333284,3,i1_u1_i_u.mp3
323,u o u1 i1,huohuí,uni3-bi1,-14.65456971,-26.72908832,4,u_o_u1_i1.mp3
324,u1 o1 l e,huole,uni3-bi2,-14.57693815,-18.72954056,5,u1_o1_l_e.mp3
325,n a f1 o1,nafó,uni3-bi2,-15.34212223,-17.10928001,1,n_a_f1_o1.mp3
326,d1 i1 p i,dipi,uni3-bi2,-14.72388882,-18.74757961,2,d1_i1_p_i.mp3
327,b a n1 u1,vanú,uni3-bi2,-14.57774268,-17.88890012,3,b_a_n1_u1.mp3
328,n u m1 a1,numá,uni3-bi2,-15.17751643,-17.90535497,4,n_u_m1_a1.mp3
329,u a g1 e1,guagué,uni3-bi2,-15.3731774,-18.70619913,5,u_a_g1_e1.mp3
330,n u ɾ1 o1,nuró,uni3-bi2,-14.60292871,-17.51668747,1,n_u_ɾ1_o1.mp3
331,n u s1 o1,nusó,uni3-bi2,-15.12669352,-17.06338919,2,n_u_s1_o1.mp3
332,u e d1 o1,huedó,uni3-bi2,-14.98335376,-17.50102406,3,u_e_d1_o1.mp3
333,l o f1 i1,lofí,uni3-bi2,-15.35121502,-16.66796275,4,l_o_f1_i1.mp3
334,l a l1 u1,lalú,uni3-bi2,-15.13660492,-17.48601512,5,l_a_l1_u1.mp3
335,g1 a1 n i,gani,uni3-bi2,-14.61455273,-17.08230473,1,g1_a1_n_i.mp3
336,b1 i1 p i,bipi,uni3-bi2,-14.93649958,-17.94991203,2,b1_i1_p_i.mp3
337,s1 u1 n i,suni,uni3-bi2,-14.59787376,-18.31321021,3,s1_u1_n_i.mp3
338,r1 i1 s i,risi,uni3-bi2,-14.99512037,-16.71015477,4,r1_i1_s_i.mp3
339,p o n1 u1,ponú,uni3-bi2,-14.75684618,-17.09632594,5,p_o_n1_u1.mp3
340,b1 a1 m u,vamu,uni3-bi2,-15.54758325,-18.31431544,1,b1_a1_m_u.mp3
341,b1 a1 ɾ u,varu,uni3-bi2,-15.14918254,-18.38322908,2,b1_a1_ɾ_u.mp3
342,g e i1 o1,guelló,uni3-bi2,-14.57250401,-16.66603568,3,g_e_i1_o1.mp3
343,n a p1 u1,napú,uni3-bi2,-14.99995708,-18.72347911,4,n_a_p1_u1.mp3
344,b o n1 u1,bonú,uni3-bi2,-14.77141613,-17.50727776,5,b_o_n1_u1.mp3
345,t a g1 u1,tagú,uni3-bi2,-15.53451824,-16.68004563,1,t_a_g1_u1.mp3
346,n i x1 a1,nijá,uni3-bi2,-14.95783084,-17.09802677,2,n_i_x1_a1.mp3
347,n1 o1 g o,nogo,uni3-bi2,-15.16544275,-16.69100605,3,n1_o1_g_o.mp3
348,l1 i1 r a,lirra,uni3-bi2,-14.96731692,-18.34264218,4,l1_i1_r_a.mp3
349,n1 u1 r o,nuro,uni3-bi2,-15.56606176,-17.51433348,5,n1_u1_r_o.mp3
350,t1 i1 g i,tigui,uni3-bi2,-15.32139251,-17.90549138,1,t1_i1_g_i.mp3
351,u e p1 o1,huepó,uni3-bi2,-15.48782778,-18.7269367,2,u_e_p1_o1.mp3
352,m1 o1 d i,modi,uni3-bi2,-15.30574693,-17.50239939,3,m1_o1_d_i.mp3
353,t i s1 u1,tisú,uni3-bi2,-14.74267452,-16.67680993,4,t_i_s1_u1.mp3
354,s1 u1 p i,supi,uni3-bi2,-15.34436533,-18.32128403,5,s1_u1_p_i.mp3
355,b1 a1 t u,vatu,uni3-bi2,-15.17202246,-18.74220495,1,b1_a1_t_u.mp3
356,s u k1 i1,suquí,uni3-bi2,-14.75601669,-17.90423804,2,s_u_k1_i1.mp3
357,b1 i1 s u,bisu,uni3-bi2,-14.73729831,-18.33968516,3,b1_i1_s_u.mp3
358,t͡ʃ a n1 a1,chaná,uni3-bi2,-15.51570852,-17.07943122,4,t͡ʃ_a_n1_a1.mp3
359,i e t͡ʃ1 i1,llechí,uni3-bi2,-15.46773939,-17.92431307,5,i_e_t͡ʃ1_i1.mp3
360,i a r1 i1,yarrí,uni3-bi3,-14.77680351,-15.91948073,1,i_a_r1_i1.mp3
361,d1 o1 ɾ i,dori,uni3-bi3,-14.77140956,-15.65428799,2,d1_o1_ɾ_i.mp3
362,d e d1 u1,dedú,uni3-bi3,-14.79380735,-16.23978329,3,d_e_d1_u1.mp3
363,t u ɾ1 o1,turó,uni3-bi3,-14.74772947,-15.34358865,4,t_u_ɾ1_o1.mp3
364,g1 a1 m i,gami,uni3-bi3,-15.13491428,-15.96259727,5,g1_a1_m_i.mp3
365,r a p1 i1,rapí,uni3-bi3,-15.31813989,-15.66719521,1,r_a_p1_i1.mp3
366,d o t1 u1,dotú,uni3-bi3,-14.60598346,-15.91966596,2,d_o_t1_u1.mp3
367,t1 e1 g e,tegue,uni3-bi3,-14.77945784,-14.76388734,3,t1_e1_g_e.mp3
368,d e m1 u1,demú,uni3-bi3,-15.15671285,-16.26704308,4,d_e_m1_u1.mp3
369,b a s1 u1,vasú,uni3-bi3,-14.63949674,-15.65165893,5,b_a_s1_u1.mp3
370,b1 o1 ɾ i,bori,uni3-bi3,-14.98402032,-15.91082478,1,b1_o1_ɾ_i.mp3
371,n1 o1 g a,noga,uni3-bi3,-14.9717693,-16.1928051,2,n1_o1_g_a.mp3
372,i1 o1 g e,yogue,uni3-bi3,-14.57250401,-16.25274147,3,i1_o1_g_e.mp3
373,x e ɾ1 o1,geró,uni3-bi3,-14.93256966,-14.74200675,4,x_e_ɾ1_o1.mp3
374,f1 i1 t i,fiti,uni3-bi3,-15.53431006,-15.66433219,5,f1_i1_t_i.mp3
375,f o m1 a1,fomá,uni3-bi3,-15.54428770847592,-15.309265036706895,1,f_o_m1_a1.mp3
376,f a l1 a1,fala,uni3-bi3,-15.14135982,-15.04454766,2,f_a_l1_a1.mp3
377,t i f1 i1,tifí,uni3-bi3,-15.53431006,-16.24520803,3,t_i_f1_i1.mp3
378,t u l1 e1,tulé,uni3-bi3,-15.54271398,-15.03585922,4,t_u_l1_e1.mp3
379,p1 a1 f e,pafe,uni3-bi3,-15.49711438,-14.76538792,5,p1_a1_f_e.mp3
380,t e r1 i1,terrí,uni3-bi3,-14.97241651,-15.05894991,1,t_e_r1_i1.mp3
381,s1 i1 x i,sigi,uni3-bi3,-15.49878994,-15.94733003,2,s1_i1_x_i.mp3
