Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Randomise questionnaire elements?,consent-response-1,consent-response-2,consent-response-text,consent-response-other,END QUESTIONNAIRE
1,1696883967128,09/10/2023 20:39:27,1696883966046,-4,09/10/2023 16:39:26,121155,36,questionnaire-p3ei,,32120947,BLIND,9498009,,complete,,652464dd22b1779f67503559,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Consent,9,SoundCheckPassed,3,test passed,,,6,,,,,,yes,No,Si,,,,42234
1,1696897829542,10/10/2023 00:30:29,1696897829401,-7,09/10/2023 17:30:29,121155,36,questionnaire-p3ei,,32122751,BLIND,9498624,,complete,,65249b17dbd73885811527ad,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1365x768,1365x711,,,,Consent,9,SoundCheckPassed,3,test passed,,,7,,,,,,yes,No,Si,,,,30659
1,1696899194856,10/10/2023 00:53:14,1696899194695,-5,09/10/2023 19:53:14,121155,36,questionnaire-p3ei,,32122818,BLIND,9498635,,complete,,6524a06990d5da15727841f6,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Consent,9,SoundCheckPassed,2,test passed,,8,,,,,,,yes,No,Si,,,,5682
1,1696903472813,10/10/2023 02:04:32,1696903472543,-5,09/10/2023 21:04:32,121155,36,questionnaire-p3ei,,32123051,BLIND,9498706,,complete,,6524b113291669a04bcb24a9,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1470x956,983x840,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,2,yes,No,Si,,,,23196
1,1696903627178,10/10/2023 02:07:07,1696903626694,-7,09/10/2023 19:07:06,121155,36,questionnaire-p3ei,,32123056,BLIND,9498708,,complete,,6524b1b7a54a92c7a5e9b019,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x660,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,4,,yes,No,Si,,,,7193
1,1696905376388,10/10/2023 02:36:16,1696905794294,-5,09/10/2023 21:43:14,121155,36,questionnaire-p3ei,,32123185,BLIND,9498740,,complete,,6524b88c667eea373b3922ce,computer,Desktop or Laptop,Mac OS 10.15,Firefox 118.0,1440x900,1440x740,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,5,,,yes,No,Si,,,,8328
1,1696911004983,10/10/2023 04:10:04,1696911005715,-7,09/10/2023 21:10:05,121155,36,questionnaire-p3ei,,32123412,BLIND,9498807,,complete,,6524ce8bf0823363318c0d90,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1366x768,1342x677,,,,Consent,9,SoundCheckPassed,1,test passed,2,,,,,,,,yes,No,Si,,,,10020
1,1696921673450,10/10/2023 07:07:53,1696921673346,-7,10/10/2023 00:07:53,121155,36,questionnaire-p3ei,,32123964,BLIND,9498951,,complete,,6524f837802955cb12c8ce4f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,4096x1152,1598x998,,,,Consent,9,SoundCheckPassed,3,test passed,,,2,,,,,,yes,No,Si,,,,49628
1,1697335079608,15/10/2023 01:57:59,1697335079415,-7,14/10/2023 18:57:59,121155,36,questionnaire-p3ei,,32245125,BLIND,9534992,,complete,,652b4714086dd362bc2962f8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,1280x800,1280x715,,,,Consent,9,SoundCheckPassed,2,test passed,,4,,,,,,,yes,No,Si,,,,7554
1,1697420497944,16/10/2023 01:41:37,1697420497737,-5,15/10/2023 20:41:37,121155,36,questionnaire-p3ei,,32258049,BLIND,9539125,,complete,,652c949e7ae78f67fed11ed2,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1331x757,,,,Consent,9,SoundCheckPassed,4,test passed,,,,3,,,,,yes,No,Si,,,,5236
1,1697486595964,16/10/2023 20:03:15,1697486595483,-4,16/10/2023 16:03:15,121155,36,questionnaire-p3ei,,32277911,BLIND,9545357,,complete,,652d96f24bf8bd720b532bf3,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,8,,,,yes,No,Si,,,,20913
1,1697481416044,16/10/2023 18:36:56,1697481415876,-5,16/10/2023 13:36:55,121155,36,questionnaire-p3ei,,32276025,BLIND,9544859,,complete,,652d82aed08c6435db58fc19,computer,Desktop or Laptop,Mac OS 10.15.7,Edge 118.0.2088.46,1920x1080,1920x944,,,,Consent,9,SoundCheckPassed,1,test passed,5,,,,,,,,yes,No,Si,,,,12785
1,1697480963520,16/10/2023 18:29:23,1697480963346,-7,16/10/2023 11:29:23,121155,36,questionnaire-p3ei,,32275903,BLIND,9544827,,complete,,652d80f0e52ee52ad5c25ca3,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x923,,,,Consent,9,SoundCheckPassed,1,test passed,6,,,,,,,,yes,No,Si,,,,5474
1,1697427332505,16/10/2023 03:35:32,1697427332270,-7,15/10/2023 20:35:32,121155,36,questionnaire-p3ei,,32258286,BLIND,9539218,,complete,,652caf6c2e33a68d9a24c119,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1420x770,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,4,,,yes,No,Si,,,,4043
1,1697415489475,16/10/2023 00:18:09,1697415489263,-4,15/10/2023 20:18:09,121155,36,questionnaire-p3ei,,32257859,BLIND,9539061,,complete,,652c81314715bb2078456f4b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1359x725,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,1,yes,No,Si,,,,7061
1,1697409796989,15/10/2023 22:43:16,1697409796715,-7,15/10/2023 15:43:16,121155,36,questionnaire-p3ei,,32257581,BLIND,9538947,,complete,,652c6af7d96abb74680db2e6,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x731,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,2,,yes,No,Si,,,,8785
1,1697334784186,15/10/2023 01:53:04,1697334783925,-7,14/10/2023 18:53:03,121155,36,questionnaire-p3ei,,32245115,BLIND,9534966,,complete,,652b45db99d7dea192d620b2,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1366x651,,,,Consent,9,SoundCheckPassed,3,test passed,,,8,,,,,,yes,No,Si,,,,6993
1,1697330804540,15/10/2023 00:46:44,1697330805869,-4,14/10/2023 20:46:45,121155,36,questionnaire-p3ei,,32245056,BLIND,9534870,,complete,,652b3668e8f3a7785d4aae74,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1280x720,1280x559,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,4,,,,yes,No,Si,,,,15840
1,1697309076068,14/10/2023 18:44:36,1697309075812,-7,14/10/2023 11:44:35,121155,36,questionnaire-p3ei,,32242409,BLIND,9534088,,complete,,652ae17910858a0642d0e3b5,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x739,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,5,,,yes,No,Si,,,,8549
1,1697305219471,14/10/2023 17:40:19,1697305221714,-5,14/10/2023 12:40:21,121155,36,questionnaire-p3ei,,32241615,BLIND,9533861,,complete,,652ad1f7a639f4cb5c294791,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x715,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,6,,,,yes,No,Si,,,,7059
1,1697250089639,14/10/2023 02:21:29,1697250088688,-7,13/10/2023 19:21:28,121155,36,questionnaire-p3ei,,32231322,BLIND,9531368,,complete,,6529fb06b58501d48d3035f9,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1920x1080,1920x993,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,4,yes,No,Si,,,,20877
1,1697245346216,14/10/2023 01:02:26,1697245347162,-4,13/10/2023 21:02:27,121155,36,questionnaire-p3ei,,32230982,BLIND,9531298,,complete,,6529e894d5f312d8e02dbf2b,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x747,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,4,,yes,No,Si,,,,7567
1,1697174367451,13/10/2023 05:19:27,1697174367051,-4,13/10/2023 01:19:27,121155,36,questionnaire-p3ei,,32211427,BLIND,9525258,,complete,,6528d34f1b911e3ded8d6392,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x931,,,,Consent,9,SoundCheckPassed,1,test passed,4,,,,,,,,yes,No,Si,,,,33052
1,1697159651697,13/10/2023 01:14:11,1697159651557,-5,12/10/2023 20:14:11,121155,36,questionnaire-p3ei,,32210778,BLIND,9525092,,complete,,652899d99122c32ceb43bf7e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x706,,,,Consent,9,SoundCheckPassed,4,test passed,,,,8,,,,,yes,No,Si,,,,3299
1,1697151119058,12/10/2023 22:51:59,1697151118877,-7,12/10/2023 15:51:58,121155,36,questionnaire-p3ei,,32210111,BLIND,9524953,,complete,,6528787a4d0244062549da3c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x724,,,,Consent,9,SoundCheckPassed,2,test passed,,6,,,,,,,yes,No,Si,,,,5513
1,1697135278125,12/10/2023 18:27:58,1697135279237,-7,12/10/2023 11:27:59,121155,36,questionnaire-p3ei,,32206877,BLIND,9523784,,complete,,65283a9b10174ed117239cd7,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1681x948,1680x943,,,,Consent,9,SoundCheckPassed,3,test passed,,,4,,,,,,yes,No,Si,,,,42264
1,1697121008124,12/10/2023 14:30:08,1697121007821,-4,12/10/2023 10:30:07,121155,36,questionnaire-p3ei,,32198668,BLIND,9521750,,complete,,652802e3e3d4520066279d25,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1200x800,1200x651,,,,Consent,9,SoundCheckPassed,3,test passed,,,1,,,,,,yes,No,Si,,,,4991
1,1697086501346,12/10/2023 04:55:01,1697086501978,-5,11/10/2023 23:55:01,121155,36,questionnaire-p3ei,,32183652,BLIND,9518007,,complete,,65277c18b3da1f971c693ce8,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,1920x1080,1879x939,,,,Consent,9,SoundCheckPassed,4,test passed,,,,3,,,,,yes,No,Si,,,,7951
1,1697062151611,11/10/2023 22:09:11,1697062151296,-4,11/10/2023 18:09:11,121155,36,questionnaire-p3ei,,32181640,BLIND,9517397,,complete,,65271cf088536666f206ea2b,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1280x800,1272x644,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,1,,,,yes,No,Si,,,,17840
1,1697061092161,11/10/2023 21:51:32,1697061092018,-4,11/10/2023 17:51:32,121155,36,questionnaire-p3ei,,32181454,BLIND,9517339,,complete,,652718a12fedf0f9cc2c726c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1337x688,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,7,,,yes,No,Si,,,,22634
1,1697059653547,11/10/2023 21:27:33,1697059651098,-7,11/10/2023 14:27:31,121155,36,questionnaire-p3ei,,32181195,BLIND,9517268,,complete,,65271323205901c8adac8338,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1664x1110,1664x953,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,1,,yes,No,Si,,,,15900
1,1697050173354,11/10/2023 18:49:33,1697050173485,-5,11/10/2023 13:49:33,121155,36,questionnaire-p3ei,,32178652,BLIND,9516487,,complete,,6526ee1aae50778de83a4db6,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1366x651,,,,Consent,9,SoundCheckPassed,2,test passed,,7,,,,,,,yes,No,Si,,,,78494
1,1697042619447,11/10/2023 16:43:39,1697042619331,-4,11/10/2023 12:43:39,121155,36,questionnaire-p3ei,,32176299,BLIND,9515751,,complete,,6526d0781bff431ad8ac118d,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1366x643,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,6,yes,No,Si,,,,16484
1,1697041543585,11/10/2023 16:25:43,1697041542960,-4,11/10/2023 12:25:42,121155,36,questionnaire-p3ei,,32175832,BLIND,9515611,,complete,,6526cbba4464558275e1742f,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 117.0.0.0,1300x730,1300x606,,,,Consent,9,SoundCheckPassed,1,test passed,4,,,,,,,,yes,No,Si,,,,15032
1,1697034156636,11/10/2023 14:22:36,1697034156420,-4,11/10/2023 10:22:36,121155,36,questionnaire-p3ei,,32168680,BLIND,9513811,,complete,,6526af997706cb31646f347d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,2560x1440,1358x1329,,,,Consent,9,SoundCheckPassed,1,test passed,7,,,,,,,,yes,No,Si,,,,6686
1,1696986974114,11/10/2023 01:16:14,1696986974755,-4,10/10/2023 21:16:14,121155,36,questionnaire-p3ei,,32155776,BLIND,9509378,,complete,,6525f74334196850d90f5253,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x739,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,2,,yes,No,Si,,,,17592
1,1698538419313,29/10/2023 00:13:39,1698538421063,-6,28/10/2023 18:13:41,121155,36,questionnaire-p3ei,,32553001,BLIND,9632680,,complete,,653da382629998c0df531052,mobile,undefined K,Android 10,Chrome 118.0.0.0,486x1079,486x938,,,,Consent,9,SoundCheckPassed,1,test passed,8,,,,,,,,yes,No,Si,,,,15113
1,1696981022045,10/10/2023 23:37:02,1696981024493,-7,10/10/2023 16:37:04,121155,36,questionnaire-p3ei,,32155276,BLIND,9509177,,complete,,6525e010c4e33e4dcd323527,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,7,yes,No,Si,,,,4450
1,1698692238756,30/10/2023 18:57:18,1698692237473,-7,30/10/2023 11:57:17,121155,36,questionnaire-p3ei,,32584135,BLIND,9642250,,complete,,653ffc7ee773b8bbd3910817,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1440x900,1440x820,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,6,yes,No,Si,,,,3434
1,1696977302428,10/10/2023 22:35:02,1696977302197,-4,10/10/2023 18:35:02,121155,36,questionnaire-p3ei,,32154681,BLIND,9508951,,complete,,6525d1844dd9112ec01def33,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1440x900,1324x694,,,,Consent,9,SoundCheckPassed,3,test passed,,,8,,,,,,yes,No,Si,,,,10781
1,1696970444866,10/10/2023 20:40:44,1696970444132,-4,10/10/2023 16:40:44,121155,36,questionnaire-p3ei,,32152772,BLIND,9508448,,complete,,6525b6c2250c9b4195114d13,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1925x986,1920x983,,,,Consent,9,SoundCheckPassed,2,test passed,,1,,,,,,,yes,No,Si,,,,4108
1,1696968648447,10/10/2023 20:10:48,1696968648173,-4,10/10/2023 16:10:48,121155,36,questionnaire-p3ei,,32151922,BLIND,9508170,,complete,,6525af2cd35e0dd06947d333,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Consent,9,SoundCheckPassed,4,test passed,,,,6,,,,,yes,No,Si,,,,80606
1,1696957213099,10/10/2023 17:00:13,1696957212924,-4,10/10/2023 13:00:12,121155,36,questionnaire-p3ei,,32144082,BLIND,9505591,,complete,,6525830e98454db3f0e2ea56,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x758,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,3,,,,yes,No,Si,,,,15039
1,1696956342655,10/10/2023 16:45:42,1696956342826,-4,10/10/2023 12:45:42,121155,36,questionnaire-p3ei,,32143172,BLIND,9505365,,complete,,65257fa0b2e8ba32363e9580,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1536x864,1536x731,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,4,,,yes,No,Si,,,,6673
1,1696953603197,10/10/2023 16:00:03,1696953602834,-5,10/10/2023 11:00:02,121155,36,questionnaire-p3ei,,32140803,BLIND,9504642,,complete,,652574f186977297ba82104e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,2560x1440,1421x1055,,,,Consent,9,SoundCheckPassed,8,test passed,,,,,,,,4,yes,No,Si,,,,17860
1,1696952996045,10/10/2023 15:49:56,1696952918453,-5,10/10/2023 10:48:38,121155,36,questionnaire-p3ei,,32140474,BLIND,9504494,,complete,,6525723f1a5875a8c61372e1,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1530x773,,,,Consent,9,SoundCheckPassed,1,test passed,5,,,,,,,,yes,No,Si,,,,39260
1,1696945258845,10/10/2023 13:40:58,1696945256422,-4,10/10/2023 09:40:56,121155,36,questionnaire-p3ei,,32133029,BLIND,9501743,,complete,,6525546212d0dad200f23004,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x739,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,2,,,,yes,No,Si,,,,163944
1,1696944474854,10/10/2023 13:27:54,1696944474729,-5,10/10/2023 08:27:54,121155,36,questionnaire-p3ei,,32132668,BLIND,9501625,,complete,,6525514cd90d610f27a1977f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 118.0,1710x1112,1605x894,,,,Consent,9,SoundCheckPassed,2,test passed,,3,,,,,,,yes,No,Si,,,,6464
1,1696943772973,10/10/2023 13:16:12,1696943770117,-5,10/10/2023 08:16:10,121155,36,questionnaire-p3ei,,32132304,BLIND,9501517,,complete,,65254db6631d9ec0b489b130,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1517x687,,,,Consent,9,SoundCheckPassed,6,test passed,,,,,,8,,,yes,No,Si,,,,10422
1,1696943414664,10/10/2023 13:10:14,1696943413788,-4,10/10/2023 09:10:13,121155,36,questionnaire-p3ei,,32132081,BLIND,9501466,,complete,,65254d23757964ca8410723f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Consent,9,SoundCheckPassed,4,test passed,,,,1,,,,,yes,No,Si,,,,16744
1,1696942167809,10/10/2023 12:49:27,1696942168921,-4,10/10/2023 08:49:28,121155,36,questionnaire-p3ei,,32131303,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Consent,9,SoundCheckPassed,7,test passed,,,,,,,6,,yes,No,Si,,,,21004
1,1696941474855,10/10/2023 12:37:54,1696941467649,-5,10/10/2023 07:37:47,121155,36,questionnaire-p3ei,,32130894,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Consent,9,SoundCheckPassed,3,test passed,,,4,,,,,,yes,No,Si,,,,3518
1,1696910945612,10/10/2023 04:09:05,1696910945474,-4,10/10/2023 00:09:05,121155,36,questionnaire-p3ei,,32123407,BLIND,9498805,,complete,,6524ce587eb28ad70bcb2a28,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,,,,Consent,9,SoundCheckPassed,5,test passed,,,,,8,,,,yes,No,Si,,,,25043
1,1696910282054,10/10/2023 03:58:02,1696910281904,-7,09/10/2023 20:58:01,121155,36,questionnaire-p3ei,,32123385,BLIND,9498798,,complete,,6524cbbc0379b41f3ed5d88e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x715,,,,Consent,9,SoundCheckPassed,4,test passed,,,,8,,,,,yes,No,Si,,,,23767
